id	node1	label	node2
P232-alias-en-3	P232	alias	'EC#'@en
P232-alias-en-2	P232	alias	'EINECS No.'@en
P232-alias-en-4	P232	alias	'European Community number'@en
P233-alias-en-1	P233	alias	'SMILES'@en
P233-alias-en-2	P233	alias	'Simplified Molecular Input Line Entry Specification'@en
P233-alias-en-gb-1	P233	alias	'Simplified Molecular Input Line Entry Specification'@en-gb
P234-alias-en-1	P234	alias	'International Chemical Identifier'@en
P234-alias-en-gb-1	P234	alias	'International Chemical Identifier'@en-gb
P2566-alias-en-1	P2566	alias	'InfoCard ID'@en
P267-alias-en-1	P267	alias	'ATCC'@en
P274-alias-en-1	P274	alias	'formula'@en
P274-alias-en-2	P274	alias	'molecular formula'@en
P2892-alias-en-2	P2892	alias	'MedGen'@en
P2892-alias-en-1	P2892	alias	'Unified Medical Language System controlled unique identifier'@en
P3117-alias-en-1	P3117	alias	'DTXSID'@en
P3345-alias-en-3	P3345	alias	'RXCUI'@en
P3345-alias-en-1	P3345	alias	'RxCui'@en
P3345-alias-en-2	P3345	alias	'RxNorm CUI'@en
P3417-alias-en-gb-1	P3417	alias	'Quora topic identifier'@en-gb
P3417-alias-en-gb-2	P3417	alias	'Quora topic name'@en-gb
P3417-alias-en-1	P3417	alias	'planner culturel'@en
P3550-alias-en-1	P3550	alias	'ARTG ID'@en
P3636-alias-en-1	P3636	alias	'PDB ID'@en
P3637-alias-en-2	P3637	alias	'EMA ID'@en
P3637-alias-en-3	P3637	alias	'EMA product number'@en
P3637-alias-en-1	P3637	alias	'EMEA ID'@en
P373-alias-en-2	P373	alias	'category Commons'@en
P373-alias-en-1	P373	alias	'commonscat'@en
P373-alias-en-gb-1	P373	alias	'commonscat'@en-gb
P3781-alias-en-1	P3781	alias	'active ingredient'@en
P3781-alias-en-2	P3781	alias	'contains active ingredient'@en
P3781-alias-en-3	P3781	alias	'includes active ingredients'@en
P486-alias-en-3	P486	alias	'MeSH ID'@en
P486-alias-en-1	P486	alias	'MeSH Unique ID'@en
P486-alias-en-2	P486	alias	'UI'@en
P527-alias-en-7	P527	alias	'amalgamation of'@en
P527-alias-en-3	P527	alias	'assembled from'@en
P527-alias-en-4	P527	alias	'assembled out of'@en
P527-alias-en-17	P527	alias	'composed of'@en
P527-alias-en-gb-2	P527	alias	'composed of'@en-gb
P527-alias-en-12	P527	alias	'comprised of'@en
P527-alias-en-9	P527	alias	'consists of'@en
P527-alias-en-gb-4	P527	alias	'consists of'@en-gb
P527-alias-en-21	P527	alias	'contain'@en
P527-alias-en-22	P527	alias	'contains'@en
P527-alias-en-ca-1	P527	alias	'contains'@en-ca
P527-alias-en-gb-3	P527	alias	'contains'@en-gb
P527-alias-en-5	P527	alias	'created from'@en
P527-alias-en-6	P527	alias	'created out of'@en
P527-alias-en-1	P527	alias	'formed from'@en
P527-alias-en-2	P527	alias	'formed out of'@en
P527-alias-en-14	P527	alias	'has as part'@en
P527-alias-en-15	P527	alias	'has component'@en
P527-alias-en-18	P527	alias	'has ingredient'@en
P527-alias-en-19	P527	alias	'has ingredients'@en
P527-alias-en-24	P527	alias	'has member'@en
P527-alias-en-16	P527	alias	'have part'@en
P527-alias-en-gb-1	P527	alias	'have part'@en-gb
P527-alias-en-10	P527	alias	'holonym of'@en
P527-alias-en-13	P527	alias	'includes part'@en
P527-alias-en-23	P527	alias	'includes'@en
P527-alias-en-20	P527	alias	'ingredients'@en
P527-alias-en-11	P527	alias	'parts'@en
P527-alias-en-8	P527	alias	'set of'@en
P571-alias-en-53	P571	alias	'built'@en
P571-alias-en-27	P571	alias	'commenced on date'@en
P571-alias-en-gb-28	P571	alias	'commenced on date'@en-gb
P571-alias-en-25	P571	alias	'commencement date'@en
P571-alias-en-gb-26	P571	alias	'commencement date'@en-gb
P571-alias-en-51	P571	alias	'completed'@en
P571-alias-en-41	P571	alias	'constructed'@en
P571-alias-en-40	P571	alias	'construction date'@en
P571-alias-en-24	P571	alias	'created on date'@en
P571-alias-en-gb-25	P571	alias	'created on date'@en-gb
P571-alias-en-5	P571	alias	'created'@en
P571-alias-en-gb-6	P571	alias	'created'@en-gb
P571-alias-en-11	P571	alias	'creation date'@en
P571-alias-en-gb-12	P571	alias	'creation date'@en-gb
P571-alias-en-26	P571	alias	'date commenced'@en
P571-alias-en-gb-27	P571	alias	'date commenced'@en-gb
P571-alias-en-39	P571	alias	'date constructed'@en
P571-alias-en-2	P571	alias	'date created'@en
P571-alias-en-gb-2	P571	alias	'date created'@en-gb
P571-alias-en-18	P571	alias	'date formed'@en
P571-alias-en-gb-19	P571	alias	'date formed'@en-gb
P571-alias-en-1	P571	alias	'date founded'@en
P571-alias-en-gb-1	P571	alias	'date founded'@en-gb
P571-alias-en-13	P571	alias	'date incorporated'@en
P571-alias-en-gb-14	P571	alias	'date incorporated'@en-gb
P571-alias-en-28	P571	alias	'date of commencement'@en
P571-alias-en-gb-29	P571	alias	'date of commencement'@en-gb
P571-alias-en-7	P571	alias	'date of creation'@en
P571-alias-en-gb-8	P571	alias	'date of creation'@en-gb
P571-alias-en-15	P571	alias	'date of establishment'@en
P571-alias-en-gb-16	P571	alias	'date of establishment'@en-gb
P571-alias-en-30	P571	alias	'date of foundation or creation'@en
P571-alias-en-gb-31	P571	alias	'date of foundation or creation'@en-gb
P571-alias-en-6	P571	alias	'date of foundation'@en
P571-alias-en-gb-7	P571	alias	'date of foundation'@en-gb
P571-alias-en-17	P571	alias	'date of founding'@en
P571-alias-en-gb-18	P571	alias	'date of founding'@en-gb
P571-alias-en-14	P571	alias	'date of incorporation'@en
P571-alias-en-gb-15	P571	alias	'date of incorporation'@en-gb
P571-alias-en-44	P571	alias	'dedication date'@en
P571-alias-en-23	P571	alias	'established on date'@en
P571-alias-en-gb-24	P571	alias	'established on date'@en-gb
P571-alias-en-8	P571	alias	'established'@en
P571-alias-en-gb-9	P571	alias	'established'@en-gb
P571-alias-en-9	P571	alias	'establishment date'@en
P571-alias-en-gb-10	P571	alias	'establishment date'@en-gb
P571-alias-en-52	P571	alias	'first issue'@en
P571-alias-en-19	P571	alias	'formation date'@en
P571-alias-en-gb-20	P571	alias	'formation date'@en-gb
P571-alias-en-43	P571	alias	'formation'@en
P571-alias-en-46	P571	alias	'formed at'@en
P571-alias-en-45	P571	alias	'formed in'@en
P571-alias-en-20	P571	alias	'formed on date'@en
P571-alias-en-gb-21	P571	alias	'formed on date'@en-gb
P571-alias-en-10	P571	alias	'foundation date'@en
P571-alias-en-gb-11	P571	alias	'foundation date'@en-gb
P571-alias-en-4	P571	alias	'foundation'@en
P571-alias-en-gb-4	P571	alias	'foundation'@en-gb
P571-alias-en-54	P571	alias	'foundation / creation date'@en
P571-alias-en-gb-32	P571	alias	'foundation / creation date'@en-gb
P571-alias-en-21	P571	alias	'founded on date'@en
P571-alias-en-gb-22	P571	alias	'founded on date'@en-gb
P571-alias-en-55	P571	alias	'founded'@en
P571-alias-en-gb-5	P571	alias	'founded'@en-gb
P571-alias-en-16	P571	alias	'founding date'@en
P571-alias-en-gb-17	P571	alias	'founding date'@en-gb
P571-alias-en-47	P571	alias	'inaugurated'@en
P571-alias-en-22	P571	alias	'incorporated on date'@en
P571-alias-en-gb-23	P571	alias	'incorporated on date'@en-gb
P571-alias-en-3	P571	alias	'incorporated'@en
P571-alias-en-gb-3	P571	alias	'incorporated'@en-gb
P571-alias-en-12	P571	alias	'incorporation date'@en
P571-alias-en-gb-13	P571	alias	'incorporation date'@en-gb
P571-alias-en-42	P571	alias	'inititated'@en
P571-alias-en-49	P571	alias	'introduced'@en
P571-alias-en-50	P571	alias	'introduction'@en
P571-alias-en-48	P571	alias	'launch date'@en
P571-alias-en-56	P571	alias	'launched'@en
P571-alias-en-29	P571	alias	'time of foundation or creation'@en
P571-alias-en-gb-30	P571	alias	'time of foundation or creation'@en-gb
P571-alias-en-32	P571	alias	'time of inception'@en
P571-alias-en-31	P571	alias	'written on date'@en
P571-alias-en-37	P571	alias	'year commenced'@en
P571-alias-en-34	P571	alias	'year created'@en
P571-alias-en-38	P571	alias	'year established'@en
P571-alias-en-33	P571	alias	'year founded'@en
P571-alias-en-35	P571	alias	'year incorporated'@en
P571-alias-en-36	P571	alias	'year written'@en
P595-alias-en-2	P595	alias	'IUPHAR ID'@en
P595-alias-en-1	P595	alias	'IUPHAR ligand'@en
P61-alias-en-ca-5	P61	alias	'coined by'@en-ca
P61-alias-en-gb-5	P61	alias	'coined by'@en-gb
P61-alias-en-5	P61	alias	'coined'@en
P61-alias-en-8	P61	alias	'created by'@en
P61-alias-en-11	P61	alias	'developed by'@en
P61-alias-en-4	P61	alias	'developer'@en
P61-alias-en-10	P61	alias	'discovered by'@en
P61-alias-en-ca-3	P61	alias	'discovered by'@en-ca
P61-alias-en-gb-3	P61	alias	'discovered by'@en-gb
P61-alias-en-ca-9	P61	alias	'discovered or invented by'@en-ca
P61-alias-en-gb-9	P61	alias	'discovered or invented by'@en-gb
P61-alias-en-2	P61	alias	'discoverer'@en
P61-alias-en-ca-2	P61	alias	'discoverer'@en-ca
P61-alias-en-gb-2	P61	alias	'discoverer'@en-gb
P61-alias-en-ca-6	P61	alias	'first described by'@en-ca
P61-alias-en-gb-6	P61	alias	'first described by'@en-gb
P61-alias-en-6	P61	alias	'first described'@en
P61-alias-en-7	P61	alias	'invented by'@en
P61-alias-en-ca-4	P61	alias	'invented by'@en-ca
P61-alias-en-gb-4	P61	alias	'invented by'@en-gb
P61-alias-en-ca-8	P61	alias	'invented or discovered by'@en-ca
P61-alias-en-gb-8	P61	alias	'invented or discovered by'@en-gb
P61-alias-en-9	P61	alias	'invented'@en
P61-alias-en-3	P61	alias	'inventor or discoverer'@en
P61-alias-en-ca-7	P61	alias	'inventor or discoverer'@en-ca
P61-alias-en-gb-7	P61	alias	'inventor or discoverer'@en-gb
P61-alias-en-1	P61	alias	'inventor'@en
P61-alias-en-ca-1	P61	alias	'inventor'@en-ca
P61-alias-en-gb-1	P61	alias	'inventor'@en-gb
P6366-alias-en-9	P6366	alias	'Academic ID'@en
P6366-alias-en-1	P6366	alias	'MAG ID'@en
P6366-alias-en-gb-1	P6366	alias	'MAG ID'@en-gb
P6366-alias-en-2	P6366	alias	'MAG'@en
P6366-alias-en-gb-2	P6366	alias	'MAG'@en-gb
P6366-alias-en-4	P6366	alias	'MS Academic ID'@en
P6366-alias-en-5	P6366	alias	'Microsoft Academic Author ID'@en
P6366-alias-en-3	P6366	alias	'Microsoft Academic Graph id'@en
P6366-alias-en-gb-3	P6366	alias	'Microsoft Academic Graph id'@en-gb
P6366-alias-en-7	P6366	alias	'Microsoft Academic Institution ID'@en
P6366-alias-en-6	P6366	alias	'Microsoft Academic Source ID'@en
P6366-alias-en-8	P6366	alias	'Microsoft Academic Work ID'@en
P638-alias-en-1	P638	alias	'PDB ID'@en
P646-alias-en-1	P646	alias	'Freebase identifier'@en
P646-alias-en-ca-1	P646	alias	'Freebase identifier'@en-ca
P646-alias-en-gb-1	P646	alias	'Freebase identifier'@en-gb
P646-alias-en-2	P646	alias	'MID'@en
P646-alias-en-ca-2	P646	alias	'MID'@en-ca
P646-alias-en-gb-2	P646	alias	'MID'@en-gb
P652-alias-en-1	P652	alias	'UnII'@en
P652-alias-en-2	P652	alias	'Unique Ingredient Identifier'@en
P652-alias-en-3	P652	alias	'Unique Ingredient Identifiers'@en
P662-alias-en-3	P662	alias	'CID (PubChem)'@en
P662-alias-en-2	P662	alias	'PubChem Compound ID (CID)'@en
P662-alias-en-1	P662	alias	'PubChem ID'@en
P6689-alias-en-2	P6689	alias	'MassBank ID'@en
P6689-alias-en-1	P6689	alias	'MassBank accession number'@en
P672-alias-en-1	P672	alias	'MeSH Tree Number'@en
P672-alias-en-2	P672	alias	'MeSH code'@en
P672-alias-en-3	P672	alias	'MeSH hierarchical code'@en
P683-alias-en-1	P683	alias	'Chemical Entities of Biological Interest'@en
P8408-alias-en-3	P8408	alias	'KBpedia knowledge graph'@en
P8408-alias-en-4	P8408	alias	'KBpedia ontology'@en
P8408-alias-en-1	P8408	alias	'KBpedia'@en
P8408-alias-en-2	P8408	alias	'KKO'@en
P8408-alias-en-6	P8408	alias	'Kbpedia'@en
P8408-alias-en-5	P8408	alias	'kbpedia'@en
P856-alias-en-14	P856	alias	'URL (official)'@en
P856-alias-en-11	P856	alias	'home page (official)'@en
P856-alias-en-3	P856	alias	'home page'@en
P856-alias-en-ca-2	P856	alias	'home page'@en-ca
P856-alias-en-15	P856	alias	'homepage (official)'@en
P856-alias-en-5	P856	alias	'homepage'@en
P856-alias-en-ca-7	P856	alias	'homepage'@en-ca
P856-alias-en-10	P856	alias	'official URL'@en
P856-alias-en-16	P856	alias	'official homepage'@en
P856-alias-en-gb-1	P856	alias	'official homepage'@en-gb
P856-alias-en-6	P856	alias	'official page'@en
P856-alias-en-ca-8	P856	alias	'official page'@en-ca
P856-alias-en-12	P856	alias	'official site'@en
P856-alias-en-ca-5	P856	alias	'official url'@en-ca
P856-alias-en-7	P856	alias	'official web site'@en
P856-alias-en-ca-4	P856	alias	'official web site'@en-ca
P856-alias-en-20	P856	alias	'site (official)'@en
P856-alias-en-18	P856	alias	'site official'@en
P856-alias-en-1	P856	alias	'site'@en
P856-alias-en-4	P856	alias	'url official'@en
P856-alias-en-ca-6	P856	alias	'url'@en-ca
P856-alias-en-2	P856	alias	'web address'@en
P856-alias-en-ca-9	P856	alias	'web address'@en-ca
P856-alias-en-9	P856	alias	'web site'@en
P856-alias-en-ca-3	P856	alias	'web site'@en-ca
P856-alias-en-8	P856	alias	'website (official)'@en
P856-alias-en-19	P856	alias	'website official'@en
P856-alias-en-13	P856	alias	'website'@en
P856-alias-en-ca-1	P856	alias	'website'@en-ca
P856-alias-en-17	P856	alias	'www site (official)'@en
P910-alias-en-2	P910	alias	'category for this topic'@en
P910-alias-en-4	P910	alias	'has category'@en
P910-alias-en-1	P910	alias	'main category'@en
P910-alias-en-3	P910	alias	'subject category'@en
Q10420388-alias-en-1	Q10420388	alias	'Bayer Aspirin'@en
Q10526382-alias-en-3	Q10526382	alias	'Corneal Disease'@en
Q10526382-alias-en-4	Q10526382	alias	'Corneal Disorder'@en
Q10526382-alias-en-1	Q10526382	alias	'cornea disease'@en
Q10526382-alias-en-2	Q10526382	alias	'disease of cornea'@en
Q10526382-alias-en-5	Q10526382	alias	'disorder of cornea'@en
Q1060922-alias-en-5	Q1060922	alias	'4-(diethylamino)-2-butynyl alpha-phenylcyclohexaneglycolic acid ester'@en
Q1060922-alias-en-4	Q1060922	alias	'4-diethylamino-2-butinyl alpha-cyclohexylmandelat'@en
Q1060922-alias-en-3	Q1060922	alias	'4-diethylamino-2-butynyl alpha-phenylcyclohexaneglycolate'@en
Q1060922-alias-en-2	Q1060922	alias	'benzeneacetic acid, alpha-cyclohexyl-alpha-hydroxy-, 4-(diethylamino)-2-butynyl ester'@en
Q1060922-alias-en-1	Q1060922	alias	'cyclohexaneglycolic acid, alpha-phenyl-, 4-(diethylamino)-2-butynyl ester'@en
Q1063862-alias-en-5	Q1063862	alias	'(1S,3S)-3-Acetyl-3,5,12-trihydroxy-6,11-dioxo-1,2,3,4,6,11-hexahydronaphthacen-1-yl 3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranoside'@en
Q1063862-alias-en-6	Q1063862	alias	'4-Demethoxydaunomycin'@en
Q1063862-alias-en-11	Q1063862	alias	'4-Demethoxydaunorubicin'@en
Q1063862-alias-en-7	Q1063862	alias	'5,12-Naphthacenedione, 9-acetyl-7-((3-amino-2,3,6-trideoxy-alpha-L-lyxo-hexopyranosyl)oxy)-7,8,9,10-tetrahydro-6,9,11-trihydroxy-, (7S-cis)-'@en
Q1063862-alias-en-2	Q1063862	alias	'IMI-30'@en
Q1063862-alias-en-1	Q1063862	alias	'Idamycin®'@en
Q1063862-alias-en-9	Q1063862	alias	'Idarubicin'@en
Q1063862-alias-en-8	Q1063862	alias	'Idarubicina'@en
Q1063862-alias-en-4	Q1063862	alias	'Idarubicine'@en
Q1063862-alias-en-10	Q1063862	alias	'Idarubicinum'@en
Q1063862-alias-en-3	Q1063862	alias	'Zavedos®'@en
Q1072420-alias-en-8	Q1072420	alias	'Liver Cirrhosis, Biliary'@en
Q1072420-alias-en-5	Q1072420	alias	'PBC'@en
Q1072420-alias-en-7	Q1072420	alias	'Primary biliary cholangitis'@en
Q1072420-alias-en-6	Q1072420	alias	'Primary biliary cirrhosis'@en
Q1072420-alias-en-1	Q1072420	alias	'biliary liver cirrhosis'@en
Q1072420-alias-en-2	Q1072420	alias	'cholestatic cirrhosis'@en
Q1072420-alias-en-3	Q1072420	alias	'chronic nonsuppurative destructive cholangitis'@en
Q1072420-alias-en-4	Q1072420	alias	'primary biliary cholangitis'@en
Q1075923-alias-en-1	Q1075923	alias	'Obstruction of bile duct'@en
Q1075923-alias-en-2	Q1075923	alias	'bile occlusion'@en
Q1088156-alias-en-12	Q1088156	alias	'B Cell CLL'@en
Q1088156-alias-en-16	Q1088156	alias	'B Cell Chronic Lymphocytic Leukemia'@en
Q1088156-alias-en-19	Q1088156	alias	'B Cell Lymphocytic Leukemia'@en
Q1088156-alias-en-17	Q1088156	alias	'B-CLL'@en
Q1088156-alias-en-10	Q1088156	alias	'B-Cell CLL'@en
Q1088156-alias-en-6	Q1088156	alias	'B-Cell Chronic Lymphogenous Leukemia'@en
Q1088156-alias-en-21	Q1088156	alias	'B-Cell Lymphocytic Leukemia'@en
Q1088156-alias-en-1	Q1088156	alias	'B-cell chronic lymphocytic leukemia'@en
Q1088156-alias-en-5	Q1088156	alias	'B-cell chronic lymphoid leukemia'@en
Q1088156-alias-en-14	Q1088156	alias	'BCLL'@en
Q1088156-alias-en-2	Q1088156	alias	'CLL'@en
Q1088156-alias-en-9	Q1088156	alias	'Chronic B-Cell Lymphocytic Leukemia'@en
Q1088156-alias-en-7	Q1088156	alias	'Chronic Lymphocytic Leukemia (CLL)'@en
Q1088156-alias-en-18	Q1088156	alias	'Chronic Lymphocytic Leukemia'@en
Q1088156-alias-en-20	Q1088156	alias	'Chronic Lymphogenous Leukemia'@en
Q1088156-alias-en-23	Q1088156	alias	'Chronic lymphocytic leukemia, NOS'@en
Q1088156-alias-en-24	Q1088156	alias	'Chronic lymphocytic leukemia; CLL'@en
Q1088156-alias-en-8	Q1088156	alias	'Hematopoeitic - Chronic Lymphocytic Leukemia (CLL)'@en
Q1088156-alias-en-22	Q1088156	alias	'LEUKEMIA, CHRONIC LYMPHOCYTIC'@en
Q1088156-alias-en-15	Q1088156	alias	'LEUKEMIA, CHRONIC LYMPHOCYTIC; CLL'@en
Q1088156-alias-en-11	Q1088156	alias	'Leukemia, Chronic Lymphatic'@en
Q1088156-alias-en-13	Q1088156	alias	'Small lymphocytic lymphoma'@en
Q1088156-alias-en-3	Q1088156	alias	'chronic lymphatic leukemia'@en
Q1088156-alias-en-4	Q1088156	alias	'lymphoplasmacytic leukemia'@en
Q11085-alias-en-4	Q11085	alias	'Parkinson disease'@en
Q11085-alias-en-3	Q11085	alias	'Parkinson'@en
Q11085-alias-en-1	Q11085	alias	'paralysis agitans'@en
Q11085-alias-en-2	Q11085	alias	'parkinsonismus idiopathicus'@en
Q11173-alias-en-1	Q11173	alias	'compound'@en
Q11173-alias-en-2	Q11173	alias	'heteroatomic molecular entity'@en
